______________________ (Miss Universe)  ,,,,,,,,,,
____________________,,,,,,,,,,
,,,,,,,,,,
Titleholder,Continent,County,Hometown,Years,Age,Summary,EyeColor,HairColor,Ft,In
Stefanía Fernández,S America,Venezuela,Mérida,2000s,18,Winning Traits between 2009 and 2009,Brown,Brown,5.84,70.08
Gabriela Isler,S America,Venezuela,Valencia,2010s,25,Winning Traits between 2013 and 2013,Brown,Brown,5.84,70.08
Amelia Vega,N America,Dominican Republic,Santiago de los Caballeros,2000s,18,Winning Traits between 2003 and 2003,Brown,Brown,,74.02
Mona Grudt,Europe,Norway,Trondheim,1990s,19,Winning Traits between 1990 and 1990,Green,Blonde,5.51,66.14
Angela Visser,Europe,Netherlands,Rotterdam,1980s,22,Winning Traits between 1989 and 1989,Green,Blonde,5.74,68.9
Norma Nolan,S America,Argentina,Buenos Aires,1960s,24,Winning Traits between 1962 and 1962,Green,Brown,,64.96
Iêda Maria Vargas,S America,Brazil,Porto Alegre,1960s,18,Winning Traits between 1963 and 1963,Green,Brown,5.51,66.14
Linda Bement,N America,United States,Salt Lake City,1960s,18,Winning Traits between 1960 and 1960,Green,Brown,,66.14
Georgina Rizk,Asia,Lebanon,Beirut,1970s,18,Winning Traits between 1971 and 1971,Green,Brown,5.58,66.93
Martha Vasconcellos,S America,Brazil,Salvador,1960s,20,Winning Traits between 1968 and 1968,Green,Brown,5.68,68.11
Cecilia Bolocco,S America,Chile,Santiago,1980s,22,Winning Traits between 1987 and 1987,Green,Brown,,68.11
Deborah Carthy-Deu,N America,Puerto Rico,San Juan,1980s,19,Winning Traits between 1985 and 1985,Green,Brown,5.68,68.11
Amparo Muñoz,Europe,Spain,Málaga,1970s,20,Winning Traits between 1974 and 1974,Green,Brown,5.68,68.11
Oxana Fedorova Dethroned,Asia,Russia,Pskov,2000s,24,Winning Traits between 2002 and 2002,Green,Brown,,70.08
Margaret Gardiner,Africa,South Africa,Cape Town,1970s,18,Winning Traits between 1978 and 1978,Green,Brown,5.84,70.08
Dayana Mendoza,S America,Venezuela,Caracas,2000s,22,Winning Traits between 2008 and 2008,Green,Brown,5.84,70.08
Olivia Culpo,N America,United States,Cranston,2010s,20,Winning Traits between 2012 and 2012,Brown,Brown,5.58,66.93
Christiane Martel,Europe,France,Créteil,1950s,21,Winning Traits between 1953 and 1953,Blue,Brown,5.51,
Miriam Stevenson,N America,United States,Winnsboro,1950s,21,Winning Traits between 1954 and 1954,Blue,Brown,5.51,66.14
Dayanara Torres,N America,Puerto Rico,Toa Alta,1990s,18,Winning Traits between 1993 and 1993,Blue,Brown,5.58,66.93
Carol Morris,N America,United States,Ottumwa,1950s,20,Winning Traits between 1956 and 1956,Blue,Brown,5.58,
Marisol Malaret,N America,Puerto Rico,San Juan,1970s,20,Winning Traits between 1970 and 1970,Blue,Brown,5.68,68.11
